ADDRESS,city,state,Metro,zip,price,sq ft,acreage,pricesqft,list-card-label,list-card-variable-text,walkscore,description,LATITUDE,LONGITUDE,bike_score,transit_score
Bayfield Ave,Arverne,NY,New York,11692,360000,8481.0,0.1946969697,42.44782455,sqft lot,Sold 08/06/2018,44,Car-Dependent,40.599041,-73.799969,45,63
3045 23rd,Astoria,NY,New York,11102,825000,2000.0,0.04591368228,412.5,sqft lot,Sold 10/29/2020,97,Walker's Paradise,40.768025,-73.927269,80,83
18-11 21 Drive,Astoria,NY,New York,11105,3000000,3025.0,0.06944444444,991.7355372,sqft lot,Sold 01/16/2019,75,Very Walkable,40.782982,-73.918476,71,68
18-15 21 Drive,Astoria,NY,New York,11105,3000000,2888.0,0.06629935721,1038.781163,sqft lot,Sold 01/16/2019,75,Very Walkable,40.782897,-73.91841,71,68
10297 E Mississippi Ave,Aurora,CO,Denver,80247,300000,40510.8,0.93,7.405432625,acres lot,Sold 10/08/2020,61,Somewhat Walkable,39.697108,-104.869217,73,42
1571 201st St,Bayside,NY,New York,11360,863000,4730.0,0.1085858586,182.4524313,sqft lot,Sold 02/21/2019,62,Somewhat Walkable,40.784455,-73.792578,52,53
28-43 214th Street #LOT,Bayside,NY,New York,11361,570000,4500.0,0.1033057851,126.6666667,sqft lot,Sold 02/09/2019,74,Very Walkable,40.77607,-73.774072,54,55
214-43 39th,Bayside,NY,New York,11361,5400000,27442.8,0.63,196.772924,acres lot,Sold 02/19/2019,94,Walker's Paradise,40.765984,-73.769358,50,67
2828 Beverly Glen Blvd,Bel Air,CA,Los Angeles,90077,9900,2506.0,0.05752984389,3.950518755,sqft lot,Sold 10/07/2018,53,Somewhat Walkable,34.1253,-118.4455,19,0
Rial,Bel Air,CA,Los Angeles,90077,10000,2550.0,0.0585399449,3.921568627,sqft lot,Sold 01/09/2019,7,Car-Dependent,34.1021,-118.4521,10,0
Beverly Glen Blvd,Bel Air,CA,Los Angeles,90077,24500,15681.6,0.36,1.562340577,acres lot,Sold 04/01/2019,14,Car-Dependent,34.092221,-118.438116,5,31
